prices,address,beds,zipcode,lat,long,url,baths,sq_feet
254900.0, 15818 N 25th St UNIT 112 Phoenix AZ 85032 ,3,85032,33.62987,-112.028788,https://www.zillow.com/homedetails/15818-N-25th-St-UNIT-112-Phoenix-AZ-85032/71621392_zpid/,3,1275
254900.0, 3848 N 3rd Ave UNIT 1030 Phoenix AZ 85013 ,2,85013,33.493887,-112.08062,https://www.zillow.com/homedetails/3848-N-3rd-Ave-UNIT-1030-Phoenix-AZ-85013/68957035_zpid/,2,989
384900.0, 522 E Marco Polo Rd Phoenix AZ 85024 ,3,85024,33.666465,-112.066867,https://www.zillow.com/homedetails/522-E-Marco-Polo-Rd-Phoenix-AZ-85024/7967927_zpid/,3,1348
533100.0, 16653 S 24th Pl Phoenix AZ 85048 ,4,85048,33.294945,-112.031217,https://www.zillow.com/homedetails/16653-S-24th-Pl-Phoenix-AZ-85048/8257016_zpid/,3,2197
364900.0, 2418 E Chipman Rd Phoenix AZ 85040 ,3,85040,33.402602,-112.029109,https://www.zillow.com/homedetails/2418-E-Chipman-Rd-Phoenix-AZ-85040/7547644_zpid/,2,1338
322100.0, 10411 N 9th St UNIT 1 Phoenix AZ 85020 ,2,85020,33.580618,-112.060193,https://www.zillow.com/homedetails/10411-N-9th-St-UNIT-1-Phoenix-AZ-85020/7788076_zpid/,2,976
354900.0, 1327 W Wahalla Ln Phoenix AZ 85027 ,2,85027,33.667171,-112.088014,https://www.zillow.com/homedetails/1327-W-Wahalla-Ln-Phoenix-AZ-85027/7972007_zpid/,2,1091
243100.0, 2929 W Yorkshire Dr UNIT 1041 Phoenix AZ 85027 ,2,85027,33.66252,-112.122142,https://www.zillow.com/homedetails/2929-W-Yorkshire-Dr-UNIT-1041-Phoenix-AZ-85027/71630374_zpid/,2,1019
474900.0, 13007 N 28th St Phoenix AZ 85032 ,3,85032,33.60464,-112.02163,https://www.zillow.com/homedetails/13007-N-28th-St-Phoenix-AZ-85032/7814645_zpid/,2,1681
254900.0, 15818 N 25th St UNIT 112 Phoenix AZ 85032 ,3,85032,33.62987,-112.028788,https://www.zillow.com/homedetails/15818-N-25th-St-UNIT-112-Phoenix-AZ-85032/71621392_zpid/,3,1275
254900.0, 3848 N 3rd Ave UNIT 1030 Phoenix AZ 85013 ,2,85013,33.493887,-112.08062,https://www.zillow.com/homedetails/3848-N-3rd-Ave-UNIT-1030-Phoenix-AZ-85013/68957035_zpid/,2,989
384900.0, 522 E Marco Polo Rd Phoenix AZ 85024 ,3,85024,33.666465,-112.066867,https://www.zillow.com/homedetails/522-E-Marco-Polo-Rd-Phoenix-AZ-85024/7967927_zpid/,3,1348
533100.0, 16653 S 24th Pl Phoenix AZ 85048 ,4,85048,33.294945,-112.031217,https://www.zillow.com/homedetails/16653-S-24th-Pl-Phoenix-AZ-85048/8257016_zpid/,3,2197
364900.0, 2418 E Chipman Rd Phoenix AZ 85040 ,3,85040,33.402602,-112.029109,https://www.zillow.com/homedetails/2418-E-Chipman-Rd-Phoenix-AZ-85040/7547644_zpid/,2,1338
322100.0, 10411 N 9th St UNIT 1 Phoenix AZ 85020 ,2,85020,33.580618,-112.060193,https://www.zillow.com/homedetails/10411-N-9th-St-UNIT-1-Phoenix-AZ-85020/7788076_zpid/,2,976
354900.0, 1327 W Wahalla Ln Phoenix AZ 85027 ,2,85027,33.667171,-112.088014,https://www.zillow.com/homedetails/1327-W-Wahalla-Ln-Phoenix-AZ-85027/7972007_zpid/,2,1091
243100.0, 2929 W Yorkshire Dr UNIT 1041 Phoenix AZ 85027 ,2,85027,33.66252,-112.122142,https://www.zillow.com/homedetails/2929-W-Yorkshire-Dr-UNIT-1041-Phoenix-AZ-85027/71630374_zpid/,2,1019
